VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-04-01 00:00:18,2021-04-01 00:21:54,1,8.40,1,N,79,116,1,25.5,3,0.5,5.85,0,0.3,35.15,2.5
1,2021-04-01 00:42:37,2021-04-01 00:46:23,1,.90,1,N,75,236,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2021-04-01 00:57:56,2021-04-01 01:08:22,1,3.40,1,N,236,168,2,11.5,3,0.5,0,0,0.3,15.3,2.5
1,2021-04-01 00:01:58,2021-04-01 00:54:27,1,.00,1,N,47,61,1,44.2,0,0.5,0,0,0.3,45,0
2,2021-04-01 00:24:55,2021-04-01 00:34:33,1,1.96,1,N,238,152,1,9,0.5,0.5,3.09,0,0.3,13.39,0
2,2021-04-01 00:19:16,2021-04-01 00:21:46,1,.77,1,N,142,238,1,4.5,0.5,0.5,1.24,0,0.3,9.54,2.5
2,2021-04-01 00:25:11,2021-04-01 00:31:53,1,3.65,1,N,238,244,1,11.5,0.5,0.5,2.56,0,0.3,15.36,0
1,2021-04-01 00:27:53,2021-04-01 00:47:03,0,8.90,1,N,138,239,1,26.5,3,0.5,7.25,6.12,0.3,43.67,2.5
2,2021-04-01 00:24:24,2021-04-01 00:37:50,1,2.98,1,N,151,244,2,12,0.5,0.5,0,0,0.3,13.3,0
1,2021-04-01 00:19:18,2021-04-01 00:41:25,1,8.90,1,N,132,196,2,28,0.5,0.5,0,0,0.3,29.3,0
